NamaBarang,Harga,terjual
[ADD ON RAM 8GB dan SCREEN] ASUS Vivobook 14 A1404ZA-VIPS552M - Terra Cotta [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],Rp9.059.000,4 terjual
[ADD ON RAM 8GB] ASUS Vivobook 14 A1404ZA-VIPS552M - Terra Cotta [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],Rp8.979.000,3 terjual
ASUS Vivobook 14 A1404ZA-VIPS552M - Terra Cotta [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],Rp8.699.000,4 terjual
[ADD ON RAM 8GB dan SCREEN] ASUS Vivobook 14 A1404ZA-VIPS551M - Quiet Blue [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],Rp9.059.000,1 terjual
[ADD ON RAM 8GB] ASUS Vivobook 14 A1404ZA-VIPS551M - Quiet Blue [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],Rp8.979.000,4 terjual
ASUS Vivobook 14 A1404ZA-VIPS551M - Quiet Blue [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],Rp8.699.000,2 terjual
ASUS Vivobook Go 15 OLED E1504FA-OLED554M - Mixed Black [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 15.6inch / WIN11 / OHS / M365],Rp9.499.000,2 terjual
ASUS Vivobook Go E1404FA-VIPS552M - Mixed Black [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 14inch / WIN11 / OHS / M365],Rp8.799.000,11 terjual
ASUS Vivobook Go 14 E410KA-FHD456M - Rose Pink [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],Rp5.169.000,20 terjual
ASUS Vivobook Go 14 E410KA-FHD428M - Rose Pink [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS / M365],Rp4.819.000,21 terjual
ASUS TUF Gaming F15 FX507VU-I745K6M-OM - Mecha Gray [Intel Core i7-13620H / NVIDIA GeForce RTX 4050 / 16GB / 512GB / 15.6inch / WIN11 / M365 / OHS],Rp18.999.000,7 terjual
ASUS ROG Strix G18 G814JV-I746C6G-O - Eclipse Gray [Intel Core i7-13650HX / NVIDIA GeForce RTX 4060 / 16GB / 1TB / 18inch / WIN11 / OHS],Rp29.499.000,21 terjual
ASUS ROG Strix G18 G814JU-I745J8G-O - Eclipse Gray [Intel Core i7-13650HX / NVIDIA GeForce RTX 4050 / 16GB / 512GB / 18inch / WIN11 / OHS],Rp25.499.000,4 terjual
ASUS Vivobook S 15 OLED S5507QA-OLEDSH11M - Cool Silver [Snapdragon X Elite X1E 78 100 / Qualcomm Adreno GPU / 32GB / 1TB / 15.6inch / WIN11 / OHS],Rp23.999.000,80+ terjual
ASUS Vivobook 14 A1404VA-VIPS5510 - Cool Silver [Intel Core i5-1335U / Intel Iris Xe Graphics / 16GB / 512GB / 14inch / WIN11 / OHS],Rp9.899.000,26 terjual
ASUS Vivobook Go 14 E410KA-FHD425 - Star Black [Intel Celeron N4500 / Intel UHD Graphics / 4GB / 256GB / 14inch / WIN11 / OHS],Rp4.519.000,24 terjual
ASUS Vivobook Go 14 E410KA-FHD429 - Star Black [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS],Rp4.819.000,30+ terjual
ASUS Vivobook Go 14 E410KA-FHD426 - Peacock Blue [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS],Rp4.819.000,13 terjual
ASUS Vivobook 14 M1405YA-OLEDS713 - Cool Silver [AMD Ryzen 7 7730U / AMD Radeon Graphics / 16GB / 1TB / 14inch / Win11 / OHS],Rp12.299.000,50+ terjual
ASUS Vivobook 14 A1404ZA-VIPS354 - Quiet Blue [Intel Core i3-1215U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS],Rp7.059.000,250+ terjual
ASUS Vivobook 14 M1405YA-VIPS752 - Cool Silver [AMD Ryzen 7 7730U / AMD Radeon Graphics / 16GB / 512GB / 14inch / WIN11 / OHS],Rp10.299.000,2 terjual
ASUS Vivobook 14 M1405YA-VIPS751 - Indie Black [AMD Ryzen 7 7730U / AMD Radeon Graphics / 16GB / 512GB / 14inch / WIN11 / OHS],Rp10.299.000,90+ terjual
ASUS Vivobook S 14 Flip OLED TP3402VA-OLEDS751 - Quiet Blue [Intel Core i7-13700H / Intel Iris Xe Graphics / 16GB / 512GB / 14inch / WIN11 / OHS],Rp16.599.000,2rb+ terjual
ASUS Vivobook S 14 Flip OLED TP3402VA-OLEDS752 - Cool Silver [Intel Core i7-13700H / Intel Iris Xe / 16GB / 512GB / 14inch / WIN11 / OHS],Rp16.599.000,2 terjual
ASUS VivoBook Go 14 E1404FA-FHD322 - Green Grey,Rp6.049.000,1 terjual
