NamaBarang,Harga,terjual,Link,DeskripsiBarang
[ADD ON RAM 8GB dan SCREEN] ASUS Vivobook 14 A1404ZA-VIPS552M - Terra Cotta [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],9059000,1 terjual,https://www.tokopedia.com/asus/add-on-ram-8gb-dan-screen-asus-vivobook-14-a1404za-vips552m-terra-cotta-intel-core-i5-1235u-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689,"ASUS Vivobook 14 A1404ZA-VIPS552M - Terra Cotta [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365] + ADD ON RAM 8GB dan Screen Protector

FREE Mouse Wireless dan Philips TWS
*Selama persediaan masih ada


Operating System : Windows 11 Home
Office : Microsoft Office Home & Student 2021 + Microsoft 365 Basic
LCD cover-material : Plastic
LCD cover-color : Terra Cotta
Military grade : US MIL-STD 810H military-grade standard

Touch Panel : Non-touch screen
Display : 14.0-inch FHD (1920 x 1080) 16:9 aspect ratio LED Backlit IPS-level Panel 60Hz refresh rate 250nits 45% NTSC color gamut Anti-glare display
Screen-to-body ratio : 82

Intel Athena Program : N/A
Processor : IntelCore i5-1235U Processor 1.3 GHz (12M Cache, up to 4.4 GHz, 10 cores)
Intergrated GPU : Intel UHD Graphics
Total System Memory : DDR4 8GB
On board memory : 8GB DDR4 on board
DIMM Memory : N/A
Storage : 512GB M.2 NVMe PCIe 3.0 SSD
Expansion Slot(includes used):
1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4

Optical Drive : N/A
Front-facing camera : 720p HD camera With privacy shutter
Wireless : Wi-Fi 6E(802.11ax) (Dual band) 1*1 + Bluetooth 5.3 Wireless Card
Keyboard type : Backlit Chiclet Keyboard
NumberPad : N/A
ScreenPad : N/A
FingerPrint : FingerPrint

I/O ports :
1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in

Audio :
SonicMaster
Built-in speaker
Built-in array microphone
Voice control with Cortana voice-recognition support

AC Adapter : 4.5, 45W AC Adapter, Output: 19V DC, 2.37A, 45W, Input: 100~240V AC 50/60Hz universal
Battery : 42WHrs, 3S1P, 3-cell Li-ion
Replaceable Battery : No
Dimension (WxHxD) : 32.49 x 21.39 x 1.79 ~ 1.79 cm (12.79"" x 8.42"" x 0.70"" ~ 0.70"")
Weight (with Battery) : 1.40 kg (3.09 lbs)
Weight (without Battery) : 1.23 kg (2.71 lbs)
Included in the Box : Backpack"
[ADD ON RAM 8GB] ASUS Vivobook 14 A1404ZA-VIPS552M - Terra Cotta [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],8979000,1 terjual,https://www.tokopedia.com/asus/add-on-ram-8gb-asus-vivobook-14-a1404za-vips552m-terra-cotta-intel-core-i5-1235u-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689,"ASUS Vivobook 14 A1404ZA-VIPS552M - Terra Cotta [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365] + ADD ON RAM 8GB

FREE Mouse Wireless dan Philips TWS
*Selama persediaan masih ada

Operating System : Windows 11 Home
Office : Microsoft Office Home & Student 2021 + Microsoft 365 Basic
LCD cover-material : Plastic
LCD cover-color : Terra Cotta
Military grade : US MIL-STD 810H military-grade standard

Touch Panel : Non-touch screen
Display : 14.0-inch FHD (1920 x 1080) 16:9 aspect ratio LED Backlit IPS-level Panel 60Hz refresh rate 250nits 45% NTSC color gamut Anti-glare display
Screen-to-body ratio : 82

Intel Athena Program : N/A
Processor : IntelCore i5-1235U Processor 1.3 GHz (12M Cache, up to 4.4 GHz, 10 cores)
Intergrated GPU : Intel UHD Graphics
Total System Memory : DDR4 8GB
On board memory : 8GB DDR4 on board
DIMM Memory : N/A
Storage : 512GB M.2 NVMe PCIe 3.0 SSD
Expansion Slot(includes used):
1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4

Optical Drive : N/A
Front-facing camera : 720p HD camera With privacy shutter
Wireless : Wi-Fi 6E(802.11ax) (Dual band) 1*1 + Bluetooth 5.3 Wireless Card
Keyboard type : Backlit Chiclet Keyboard
NumberPad : N/A
ScreenPad : N/A
FingerPrint : FingerPrint

I/O ports :
1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in

Audio :
SonicMaster
Built-in speaker
Built-in array microphone
Voice control with Cortana voice-recognition support

AC Adapter : 4.5, 45W AC Adapter, Output: 19V DC, 2.37A, 45W, Input: 100~240V AC 50/60Hz universal
Battery : 42WHrs, 3S1P, 3-cell Li-ion
Replaceable Battery : No
Dimension (WxHxD) : 32.49 x 21.39 x 1.79 ~ 1.79 cm (12.79"" x 8.42"" x 0.70"" ~ 0.70"")
Weight (with Battery) : 1.40 kg (3.09 lbs)
Weight (without Battery) : 1.23 kg (2.71 lbs)
Included in the Box : Backpack"
ASUS Vivobook 14 A1404ZA-VIPS552M - Terra Cotta [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],8699000,5 terjual,https://www.tokopedia.com/asus/asus-vivobook-14-a1404za-vips552m-terra-cotta-intel-core-i5-1235u-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689,"ASUS Vivobook 14 A1404ZA-VIPS552M - Terra Cotta [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365]

FREE Mouse Wireless dan Philips TWS
*Selama persediaan masih ada

Operating System : Windows 11 Home
Office : Microsoft Office Home & Student 2021 + Microsoft 365 Basic
LCD cover-material : Plastic
LCD cover-color : Terra Cotta
Military grade : US MIL-STD 810H military-grade standard

Touch Panel : Non-touch screen
Display : 14.0-inch FHD (1920 x 1080) 16:9 aspect ratio LED Backlit IPS-level Panel 60Hz refresh rate 250nits 45% NTSC color gamut Anti-glare display
Screen-to-body ratio : 82

Intel Athena Program : N/A
Processor : IntelCore i5-1235U Processor 1.3 GHz (12M Cache, up to 4.4 GHz, 10 cores)
Intergrated GPU : Intel UHD Graphics
Total System Memory : DDR4 8GB
On board memory : 8GB DDR4 on board
DIMM Memory : N/A
Storage : 512GB M.2 NVMe PCIe 3.0 SSD
Expansion Slot(includes used):
1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4

Optical Drive : N/A
Front-facing camera : 720p HD camera With privacy shutter
Wireless : Wi-Fi 6E(802.11ax) (Dual band) 1*1 + Bluetooth 5.3 Wireless Card
Keyboard type : Backlit Chiclet Keyboard
NumberPad : N/A
ScreenPad : N/A
FingerPrint : FingerPrint

I/O ports :
1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in

Audio :
SonicMaster
Built-in speaker
Built-in array microphone
Voice control with Cortana voice-recognition support

AC Adapter : 4.5, 45W AC Adapter, Output: 19V DC, 2.37A, 45W, Input: 100~240V AC 50/60Hz universal
Battery : 42WHrs, 3S1P, 3-cell Li-ion
Replaceable Battery : No
Dimension (WxHxD) : 32.49 x 21.39 x 1.79 ~ 1.79 cm (12.79"" x 8.42"" x 0.70"" ~ 0.70"")
Weight (with Battery) : 1.40 kg (3.09 lbs)
Weight (without Battery) : 1.23 kg (2.71 lbs)
Included in the Box : Backpack"
[ADD ON RAM 8GB dan SCREEN] ASUS Vivobook 14 A1404ZA-VIPS551M - Quiet Blue [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],9059000,3 terjual,https://www.tokopedia.com/asus/add-on-ram-8gb-dan-screen-asus-vivobook-14-a1404za-vips551m-quiet-blue-intel-core-i5-1235u-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs-m365?extParam=whid%3D2383689%26src%3Dshop,"ASUS Vivobook 14 A1404ZA-VIPS551M - Quiet Blue [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365] + ADD ON RAM 8GB dan Screen Protector

FREE Mouse Wireless dan Philips TWS
*Selama persediaan masih ada

Operating System : Windows 11 Home + Microsoft Office Home & Student 2021
Military grade : US MIL-STD 810H military-grade standard

LCD cover-color : Quiet Blue
LCD cover-material : Plastic
Touch Panel : Non-touch screen
Display : 14.0-inch FHD (1920 x 1080) 16:9 aspect ratio LED Backlit IPS-level Panel 60Hz refresh rate 250nits 45% NTSC color gamut Anti-glare display

Processor : IntelCore i5-1235U Processor 1.3 GHz (12M Cache, up to 4.4 GHz, 10 cores)
Intergrated GPU : Intel UHD Graphics
On board memory : 8GB DDR4 on board
Storage : 512GB M.2 NVMe PCIe 3.0 SSD

Expansion Slot(includes used) :
1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4

Front-facing camera : 720p HD camera With privacy shutter
Wireless : Wi-Fi 6E(802.11ax) (Dual band) 1*1 + Bluetooth 5.3 Wireless Card
Keyboard type : Backlit Chiclet Keyboard
NumberPad : N/A
ScreenPad : N/A
FingerPrint : FingerPrint

I/O ports :
1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in

Audio :
SonicMaster
Built-in speaker
Built-in array microphone
Voice control with Cortana voice-recognition support

AC Adapter : 4.5, 45W AC Adapter, Output: 19V DC, 2.37A, 45W, Input: 100~240V AC 50/60Hz universal
Battery : 42WHrs, 3S1P, 3-cell Li-ion
Replaceable Battery : No
Dimension (WxHxD) : 32.49 x 21.39 x 1.79 ~ 1.79 cm (12.79"" x 8.42"" x 0.70"" ~ 0.70"")
Weight (with Battery) : 1.40 kg (3.09 lbs)
Weight (without Battery) : 1.23 kg (2.71 lbs)
Included in the Box : Backpack"
[ADD ON RAM 8GB] ASUS Vivobook 14 A1404ZA-VIPS551M - Quiet Blue [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],8979000,4 terjual,https://www.tokopedia.com/asus/add-on-ram-8gb-asus-vivobook-14-a1404za-vips551m-quiet-blue-intel-core-i5-1235u-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs-m365?extParam=whid%3D2383689%26src%3Dshop,"ASUS Vivobook 14 A1404ZA-VIPS551M - Quiet Blue [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365] + ADD ON RAM 8GB

FREE Mouse Wireless dan Philips TWS
*Selama persediaan masih ada

Operating System : Windows 11 Home + Microsoft Office Home & Student 2021
Military grade : US MIL-STD 810H military-grade standard

LCD cover-color : Quiet Blue
LCD cover-material : Plastic
Touch Panel : Non-touch screen
Display : 14.0-inch FHD (1920 x 1080) 16:9 aspect ratio LED Backlit IPS-level Panel 60Hz refresh rate 250nits 45% NTSC color gamut Anti-glare display

Processor : IntelCore i5-1235U Processor 1.3 GHz (12M Cache, up to 4.4 GHz, 10 cores)
Intergrated GPU : Intel UHD Graphics
On board memory : 8GB DDR4 on board
Storage : 512GB M.2 NVMe PCIe 3.0 SSD

Expansion Slot(includes used) :
1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4

Front-facing camera : 720p HD camera With privacy shutter
Wireless : Wi-Fi 6E(802.11ax) (Dual band) 1*1 + Bluetooth 5.3 Wireless Card
Keyboard type : Backlit Chiclet Keyboard
NumberPad : N/A
ScreenPad : N/A
FingerPrint : FingerPrint

I/O ports :
1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in

Audio :
SonicMaster
Built-in speaker
Built-in array microphone
Voice control with Cortana voice-recognition support

AC Adapter : 4.5, 45W AC Adapter, Output: 19V DC, 2.37A, 45W, Input: 100~240V AC 50/60Hz universal
Battery : 42WHrs, 3S1P, 3-cell Li-ion
Replaceable Battery : No
Dimension (WxHxD) : 32.49 x 21.39 x 1.79 ~ 1.79 cm (12.79"" x 8.42"" x 0.70"" ~ 0.70"")
Weight (with Battery) : 1.40 kg (3.09 lbs)
Weight (without Battery) : 1.23 kg (2.71 lbs)
Included in the Box : Backpack"
ASUS Vivobook 14 A1404ZA-VIPS551M - Quiet Blue [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],8699000,5 terjual,https://www.tokopedia.com/asus/asus-vivobook-14-a1404za-vips551m-quiet-blue-intel-core-i5-1235u-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689,"ASUS Vivobook 14 A1404ZA-VIPS551M - Quiet Blue [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365]

FREE Mouse Wireless dan Philips TWS
*Selama persediaan masih ada


Operating System : Windows 11 Home + Microsoft Office Home & Student 2021 + Microsoft 365 Basic
Military grade : US MIL-STD 810H military-grade standard

LCD cover-color : Quiet Blue
LCD cover-material : Plastic
Touch Panel : Non-touch screen
Display : 14.0-inch FHD (1920 x 1080) 16:9 aspect ratio LED Backlit IPS-level Panel 60Hz refresh rate 250nits 45% NTSC color gamut Anti-glare display

Processor : IntelCore i5-1235U Processor 1.3 GHz (12M Cache, up to 4.4 GHz, 10 cores)
Intergrated GPU : Intel UHD Graphics
On board memory : 8GB DDR4 on board
Storage : 512GB M.2 NVMe PCIe 3.0 SSD

Expansion Slot(includes used) :
1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4

Front-facing camera : 720p HD camera With privacy shutter
Wireless : Wi-Fi 6E(802.11ax) (Dual band) 1*1 + Bluetooth 5.3 Wireless Card
Keyboard type : Backlit Chiclet Keyboard
NumberPad : N/A
ScreenPad : N/A
FingerPrint : FingerPrint

I/O ports :
1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in

Audio :
SonicMaster
Built-in speaker
Built-in array microphone
Voice control with Cortana voice-recognition support

AC Adapter : 4.5, 45W AC Adapter, Output: 19V DC, 2.37A, 45W, Input: 100~240V AC 50/60Hz universal
Battery : 42WHrs, 3S1P, 3-cell Li-ion
Replaceable Battery : No
Dimension (WxHxD) : 32.49 x 21.39 x 1.79 ~ 1.79 cm (12.79"" x 8.42"" x 0.70"" ~ 0.70"")
Weight (with Battery) : 1.40 kg (3.09 lbs)
Weight (without Battery) : 1.23 kg (2.71 lbs)
Included in the Box : Backpack"
ASUS Vivobook Go 15 OLED E1504FA-OLED554M - Mixed Black [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 15.6inch / WIN11 / OHS / M365],9499000,4 terjual,https://www.tokopedia.com/asus/asus-vivobook-go-15-oled-e1504fa-oled554m-mixed-black-amd-ryzen-5-7520u-amd-radeon-graphics-16gb-512gb-15-6inch-win11-ohs-m365?extParam=whid%3D2383689%26src%3Dshop,"ASUS Vivobook Go 15 OLED E1504FA-OLED554M - Mixed Black [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 15.6inch / WIN11 / OHS / M365]

FREE Mouse Wireless
*Selama persediaan masih ada

Operating System : Windows 11 Home
Office : Microsoft Office Home & Student 2021 + Microsoft 365 Basic

LCD cover-material : Plastic
LCD cover-color : Mixed Black
Military grade : US MIL-STD 810H military-grade standard
Touch Panel : Non-touch screen
Display : 15.6-inch
Resolution : FHD (1920 x 1080) OLED 16:9 aspect ratio 60Hz refresh rate 400nits 600nits HDR peak brightness 100% DCI-P3 color gamut PANTONE Validated Glossy display
Screen-to-body ratio : 84

Processor : AMD Ryzen 5 7520U Mobile Processor 2.8GHz (4-core/8-thread, 4MB cache, up to 4.3 GHz max boost)
Intergrated GPU : AMD Radeon Graphics
Total System Memory : LPDDR5 16GB
On board memory : 16GB LPDDR5 on board
DIMM Memory : N/A
Storage : 512GB M.2 NVMe PCIe 3.0 SSD
How to upgrade memory : N/A
Expansion Slot(includes used) : 1x M.2 2280 PCIe 3.0x2
Optical Drive : N/A

Front-facing camera : 720p HD camera With privacy shutter
Wireless : Wi-Fi 6E(802.11ax) (Dual band) 1*1 + Bluetooth 5.3 Wireless Card
Keyboard type : Backlit Chiclet Keyboard
NumberPad : N/A
ScreenPad : N/A
FingerPrint : FingerPrint

I/O ports :
1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in

Audio :
SonicMaster
Built-in speaker
Built-in array microphone
Voice control with Cortana voice-recognition support

AC Adapter : 4.5, 65W AC Adapter, Output: 19V DC, 3.42A, 65W, Input: 100~240V AC 50/60Hz universal
Battery : 50WHrs, 3S1P, 3-cell Li-ion
Replaceable Battery : No
Dimension (WxHxD) : 36.03 x 23.25 x 1.79 ~ 1.79 cm (14.19"" x 9.15"" x 0.70"" ~ 0.70"")
Weight (with Battery) : 1.63 kg (3.59 lbs)
Weight (without Battery) : 1.47 kg (3.24 lbs)
Included in the Box : Backpack"
ASUS Vivobook Go E1404FA-VIPS552M - Mixed Black [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 14inch / WIN11 / OHS / M365],8799000,2 terjual,https://www.tokopedia.com/asus/asus-vivobook-go-e1404fa-vips552m-mixed-black-amd-ryzen-5-7520u-amd-radeon-graphics-16gb-512gb-14inch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689,"ASUS Vivobook Go E1404FA-VIPS552M - Mixed Black [AMD Ryzen™ 5 7520U / AMD Radeon™ Graphics / 16GB / 512GB / 14inch / WIN11 / OHS / M365]

FREE Mouse Wireless
*Selama persediaan masih ada

Operating System : Windows 11 Home
Office : Microsoft Office Home & Student 2021 + Microsoft 365 Basic

LCD cover-material : Plastic
LCD cover-color : Mixed Black
Military grade : US MIL-STD 810H military-grade standard
Touch Panel : Non-touch screen
Display : 14.0-inch FHD (1920 x 1080) 16:9 aspect ratio LED Backlit IPS-level Panel 60Hz refresh rate 250nits 45% NTSC color gamut Anti-glare display
Screen-to-body ratio : 83%

Processor : AMD Ryzen™ 5 7520U Processor 2.8GHz (6MB Cache, up to 4.3GHz, 4 cores, 8 Threads)
Intergrated GPU : AMD Radeon™ Graphics
Graphics : N/A
VRAM : N/A
Total System Memory : LPDDR5 16GB
On board memory : 16GB LPDDR5 on board
DIMM Memory : N/A
Storage : 512GB M.2 NVMe™ PCIe® 3.0 SSD
How to upgrade memory : N/A
Expansion Slot(includes used) : 1x M.2 2280 PCIe 3.0x2

Front-facing camera : 720p HD camera With privacy shutter
Wireless : Wi-Fi 6E(802.11ax) (Dual band) 1*1 + Bluetooth® 5.3 Wireless Card
Keyboard type : Backlit Chiclet Keyboard
NumberPad : N/A
ScreenPad™ : N/A
FingerPrint : FingerPrint

I/O ports :
1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in

Audio :
SonicMaster
Built-in speaker
Built-in array microphone
Voice control with Cortana voice-recognition support

AC Adapter : ø4.5, 45W AC Adapter, Output: 19V DC, 2.37A, 45W, Input: 100~240V AC 50/60Hz universal
Battery : 42WHrs, 3S1P, 3-cell Li-ion
Dimension (WxHxD) : 32.55 x 21.39 x 1.79 ~ 1.79 cm (12.81"" x 8.42"" x 0.70"" ~ 0.70"")
Weight (with Battery) : 1.38 kg (3.04 lbs)
Weight (without Battery) : 1.21 kg (2.67 lbs)
Included in the Box : Backpack"
ASUS Vivobook Go 14 E410KA-FHD456M - Rose Pink [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / M365],5169000,2 terjual,https://www.tokopedia.com/asus/asus-vivobook-go-14-e410ka-fhd456m-rose-pink-intel-celeron-n4500-intel-uhd-graphics-8gb-512gb-14inch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689,"ASUS Vivobook Go 14 E410KA-FHD456M - Rose Pink [Intel® Celeron® N4500 / Intel® UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS / WIN11]

FREE Mouse Wireless
*Selama persediaan masih ada

Operating System : Windows 11 Home
Office : Office Home and Student 2021 included + Microsoft 365 Basic

LCD cover-material : Plastic
LCD cover-color : Peacock Blue
Military grade : N/A
Touch Panel : Non-touch screen
Display : 14.0-inch FHD (1920 x 1080) 16:9 aspect ratio LED Backlit 60Hz refresh rate 200nits Color gamut 45% NTSC color gamut Anti-glare display
Screen-to-body ratio : 78%

Intel Athena Program : N/A
Processor : Intel® Celeron® N4500 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)
Intergrated GPU : Intel® UHD Graphics
Graphics : N/A
VRAM : N/A
Total System Memory : DDR4 8GB
On board memory : 8GB DDR4 on board
DIMM Memory : N/A
Storage : 512GB M.2 NVMe™ PCIe® 3.0 SSD
How to upgrade memory : N/A
Expansion Slot(includes used) : N/A

Front-facing camera : VGA camera
Wireless : Wi-Fi 5(802.11ac) (Dual band) 1*1 + Bluetooth® 5.1 Wireless Card
Keyboard type : Backlit Chiclet Keyboard
NumberPad : N/A
Touchpad : N/A
ScreenPad™ : N/A
FingerPrint : N/A

I/O ports :
1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C
1x HDMI 1.4
1x 3.5mm Combo Audio Jack

Audio :
Audio by ICEpower®
Built-in speaker
Built-in microphone
Voice control with Cortana support

Power : ø4.0, 33W AC Adapter, Output: 19V DC, 1.75A, 33W, Input: 100-240V AC 50/60Hz universal
Battery : 42WHrs, 3S1P, 3-cell Li-ion
Dimension (WxHxD) : 32.50 x 21.70 x 1.80 ~ 1.84 cm (12.80"" x 8.54"" x 0.71"" ~ 0.72"")
Weight (with Battery) : 1.30 kg (2.87 lbs)
Weight (without Battery) : 1.25 kg (2.76 lbs)
Included in the Box : Carry bag"
ASUS Vivobook Go 14 E410KA-FHD428M - Rose Pink [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS / M365],4819000,11 terjual,https://www.tokopedia.com/asus/asus-vivobook-go-14-e410ka-fhd428m-rose-pink-intel-celeron-n4500-intel-uhd-graphics-8gb-256gb-14inch-win11-ohs-m365?extParam=src%3Dshop%26whid%3D2383689,"ASUS Vivobook Go 14 E410KA-FHD428M - Rose Pink [Intel® Celeron® N4500 / Intel® UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS / M365]

FREE Mouse Wireless
*Selama persediaan masih ada

Operating System : Windows 11 Home
Office : Office Home and Student 2021 included + Microsoft 365 Basic

LCD cover-material : Plastic
LCD cover-color : Rose Pink

Military grade : N/A
Touch Panel : Non-touch screen
Display : 14.0-inch FHD (1920 x 1080) 16:9 aspect ratio LED Backlit 60Hz refresh rate 200nits 45% NTSC color gamut Anti-glare display
Screen-to-body ratio : 78%

Processor : Intel® Celeron® N4500 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)
Intergrated GPU : Intel® UHD Graphics
Graphic Memory : N/A
On board memory : 8GB DDR4 on board
Total System Memory : DDR4 8GB
Disclaimer for memory : Only supports single-channel memory.
Storage : 256GB M.2 NVMe™ PCIe® 3.0 SSD
Expansion Slot(includes used) : N/A

Front-facing camera : VGA camera
Wireless : Wi-Fi 5(802.11ac) (Dual band) 1*1 + Bluetooth® 5.1 Wireless Card
Keyboard type : Backlit Chiclet Keyboard
Touchpad : Touchpad support NumberPad
FingerPrint : N/A

I/O ports :
1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C
1x HDMI 1.4
1x 3.5mm Combo Audio Jack

Audio :
Audio by ICEpower®
Built-in speaker
Built-in microphone
Voice control with Cortana support

Power : ø4.0, 33W AC Adapter, Output: 19V DC, 1.75A, 33W, Input: 100-240V AC 50/60Hz universal
Battery : 42WHrs, 3S1P, 3-cell Li-ion
Replaceable Battery : No
Dimension (W x H x D) : 32.50 x 21.70 x 1.80 ~ 1.84 cm (12.80"" x 8.54"" x 0.71"" ~ 0.72"")
Weight (with Battery) : 1.30 kg (2.87 lbs)
Weight (without Battery) : 1.25 kg (2.76 lbs)
Included in the Box : Carry bag"
